Files with a maintainer. If you wish to change a file, please contact the
maintainer of the file to do the change.

The third column specifies, where/how the maintainer should be contacted. If
there is no reaction from the mainainer within 3 weeks, then rudolfkoenig
(forum.fhem.de/FHEM Forum) should be contacted, in order to assign a new
maintainer.

When adding a new file, add yourself as the maintainer.

File                         Maintainer           Forum
=========================================================================
fhem.pl                      rudolfkoenig         Sonstiges
fhem.cfg                     rudolfkoenig         Sonstiges
Makefile                     rudolfkoenig         Sonstiges
configDB.pm                  betateilchen         Sonstiges

FHEM/00_CM11.pm              neubert              SlowRF
FHEM/00_CUL.pm               rudolfkoenig         SlowRF
FHEM/00_DFPlayerMini.pm      kaihs                Multimedia
FHEM/00_FBAHA.pm             rudolfkoenig         FRITZ!Box
FHEM/00_FBAHAHTTP.pm         rudolfkoenig         FRITZ!Box
FHEM/00_FHZ.pm               rudolfkoenig         SlowRF
FHEM/00_HMLAN.pm             martinp876           HomeMatic
FHEM/00_HMUARTLGW.pm         mgernoth             HomeMatic
FHEM/00_HXB.pm               neubert              Sonstige Systeme
FHEM/00_KM271.pm             physikus             Sonstiges
FHEM/00_LIRC.pm              rudolfkoenig         Sonstiges
FHEM/00_MAXLAN.pm            rudolfkoenig/orphan  MAX
FHEM/00_MQTT.pm              eisler               MQTT
FHEM/00_MYSENSORS.pm         Hauswart             Sonstige Systeme
FHEM/00_NetzerI2C.pm         klausw               Sonstige Systeme
FHEM/00_Neuron.pm            klausw               Sonstige Systeme
FHEM/00_OWX.pm               pahenning            1Wire
FHEM/00_OWX_ASYNC            ntruchsess           1Wire
FHEM/00_RPII2C               klausw               Einplatinencomputer
FHEM/00_SIGNALduino.pm       Sidey                Sonstige Systeme
FHEM/00_SONOS.pm             Reinerlein           Multimedia
FHEM/00_TCM.pm               klaus-schauer        EnOcean
FHEM/00_THZ.pm               immiimmi             Heizungssteuerung/Raumklima
FHEM/00_TUL.pm               andi291              KNX/EIB
FHEM/00_ZWCUL.pm             rudolfkoenig         ZWave
FHEM/00_ZWDongle.pm          rudolfkoenig         ZWave
FHEM/01_FHEMWEB.pm           rudolfkoenig         Frontends/FHEMWEB
FHEM/02_FRAMEBUFFER.pm       kaihs                Frontends
FHEM/02_HTTPSRV.pm           neubert              Frontends
FHEM/02_FTUISRV.pm           viegener             Frontends/TabletUI
FHEM/02_RSS.pm               neubert              Frontends/RSS
FHEM/09_BS.pm                neubert              SlowRF
FHEM/09_CUL_FHTTK.pm         matscher             SlowRF
FHEM/09_USF1000.pm           neubert              SlowRF
FHEM/10_CUL_HM.pm            martinp876           HomeMatic
FHEM/10_CUL_IR.pm            odroegehorn          SlowRF
FHEM/10_DUOFERNSTICK         telekatz             Sonstige Systeme
FHEM/10_EIB.pm               andi291              KNX/EIB
FHEM/10_KNX.pm               andi291              KNX/EIB
FHEM/10_EnOcean.pm           klaus-schauer        EnOcean
FHEM/10_EQ3BT.pm             dominikkarall        Sonstige Systeme
FHEM/10_FBDECT.pm            rudolfkoenig         FRITZ!Box
FHEM/10_FRM.pm               jensb                Sonstige Systeme
FHEM/10_FS20.pm              rudolfkoenig         SlowRF
FHEM/00_HXBDevice.pm         neubert              Sonstige Systeme
FHEM/10_IT.pm                dancer0705/bjoernh   InterTechno
FHEM/10_Itach_IR             ulimaass             Sonstige Systeme
FHEM/10_KOPP_FC.pm           raspii               Sonstige Systeme
FHEM/10_MAX.pm               rudolfkoenig/orphan  MAX
FHEM/10_MQTT_BRIDGE          eisler               MQTT
FHEM/10_MQTT_DEVICE          eisler               MQTT
FHEM/10_MYSENSORS_DEVICE     Hauswart             Sonstige Systeme
FHEM/10_NeuronPin.pm         klausw               Sonstige Systeme
FHEM/10_OWServer.pm          neubert/mfr69bs      1Wire
FHEM/10_SOMFY.pm             viegener             Sonstige Systeme
FHEM/10_UNIRoll.pm           C_Herrmann           SlowRF
FHEM/10_ZWave.pm             rudolfkoenig         ZWave
FHEM/10_RESIDENTS.pm         loredo               Automatisierung
FHEM/10_pilight_ctrl.pm      risiko               Sonstige Systeme
FHEM/11_FHT.pm               rudolfkoenig         SlowRF
FHEM/11_FHT8V.pm             rudolfkoenig         SlowRF
FHEM/11_OWDevice.pm          neubert/mfr69bs      1Wire
FHEM/11_OWX_SER.pm           pahenning            1Wire
FHEM/11_OWX_TCP.pm           pahenning            1Wire
FHEM/11_OWX_FRM.pm           pahenning            1Wire
FHEM/11_OWX_CCC.pm           pahenning            1Wire
FHEM/14_Hideki.pm            Sidey/Ralf9          Sonstige Systeme
FHEM/12_HMS.pm               rudolfkoenig         SlowRF
FHEM/13_KS300.pm             rudolfkoenig         SlowRF
FHEM/14_CUL_MAX.pm           rudolfkoenig/orphan  MAX
FHEM/14_CUL_REDIRECT.pm      dancer0705/bjoernh   Sonstiges
FHEM/14_CUL_TCM97001.pm      dancer0705/bjoernh   Sonstiges
FHEM/14_CUL_TX.pm            rudolfkoenig         SlowRF
FHEM/14_CUL_WS.pm            rudolfkoenig         SlowRF
FHEM/15_CUL_EM.pm            rudolfkoenig         SlowRF
FHEM/16_CUL_RFR.pm           rudolfkoenig         SlowRF
FHEM/16_STACKABLE_CC.pm      rudolfkoenig         SlowRF
FHEM/17_EGPM2LAN.pm          alexus               Sonstiges
FHEM/14_SD_WS.pm             Sidey/Ralf9          Sonstige Systeme
FHEM/14_SD_WS_Maverick.pm    Sidey79/Cruizer      Sonstige Systeme
FHEM/14_SD_WS07.pm           Sidey/Ralf9          Sonstige Systeme
FHEM/14_SD_WS09.pm           Sidey/pejonp         Sonstige Systeme
FHEM/14_SD_RSL.pm            Sidey/Ralf9          Sonstige Systeme
FHEM/17_SIS_PMS.pm           painseeker           Sonstiges
FHEM/18_CUL_HOERMANN.pm      rudolfkoenig         SlowRF
FHEM/19_Revolt.pm            martinppp/mehf       SlowRF
FHEM/19_VBUSIF.pm            Tobias/pejonp        Sonstige Systeme
FHEM/20_FRM_AD.pm            jensb                Sonstige Systeme
FHEM/20_FRM_ROTENC.pm        ntruchsess           Sonstige Systeme
FHEM/20_FRM_I2C.pm           ntruchsess           Sonstige Systeme
FHEM/20_FRM_IN.pm            jensb                Sonstige Systeme
FHEM/20_FRM_LCD.pm           ntruchsess           Sonstige Systeme (deprecated)
FHEM/20_FRM_OUT.pm           jensb                Sonstige Systeme
FHEM/20_FRM_PWM.pm           jensb                Sonstige Systeme
FHEM/20_FRM_RBG.pm           ntruchsess           Sonstige Systeme
FHEM/20_FRM_SERVO.pm         ntruchsess           Sonstige Systeme
FHEM/20_FRM_STEPPER.pm       ntruchsess           Sonstige Systeme
FHEM/20_OWFS.pm              mfr69bs              1Wire (deprecated)
FHEM/20_X10.pm               neubert              SlowRF
FHEM/20_ROOMMATE.pm          loredo               Automatisierung
FHEM/20_GUEST.pm             loredo               Automatisierung
FHEM/20_N4HBUS.pm            okoerber             Sonstige Systeme
FHEM/21_N4HMODULE.pm         okoerber             Sonstige Systeme
FHEM/21_VBUSDEV.pm           Tobias/pejonp        Sonstige Systeme
FHEM/21_OWAD.pm              pahenning            1Wire
FHEM/21_OWCOUNT.pm           pahenning            1Wire
FHEM/21_OWID.pm              pahenning            1Wire
FHEM/21_OWLCD.pm             pahenning            1Wire
FHEM/21_OWMULTI.pm           pahenning            1Wire
FHEM/21_OWSWITCH.pm          pahenning            1Wire
FHEM/21_OWTEMP.pm            mfr69bs              1Wire (deprecated)
FHEM/21_OWTHERM.pm           pahenning            1Wire
FHEM/21_OWVAR.pm             pahenning            1Wire
FHEM/21_SONOSPLAYER          Reinerlein           Multimedia
FHEM/21_HEOSMaster           CoolTux              Multimedia
FHEM/21_HEOSPlayer           CoolTux              Multimedia
FHEM/21_HEOSGroup            CoolTux              Multimedia
FHEM/22_ALL3076.pm           sachag               Sonstiges
FHEM/22_HOMEMODE.pm          DeeSPe               Automatisierung
FHEM/23_ALL4027.pm           sachag               Sonstiges
FHEM/23_KOSTALPIKO.pm        john                 CodeSchnipsel
FHEM/23_LUXTRONIK2.pm        tupol                Heizungssteuerung/Raumklima (link als PM an tupol)
FHEM/23_WEBIO.pm             sachag               Sonstiges
FHEM/23_WEBIO_12DIGITAL.pm   sachag               Sonstiges
FHEM/24_NetIO230B.pm         rudolfkoenig/orphan  Sonstiges
FHEM/24_TPLinkHS110.pm	     VolkerKettenbach     Sonstige Systeme
