#################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# vrs620.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Version 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Prof. Dr. Peter A. Henning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GNU GPL V2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment
r,THER,ID,Vaillant BAI00 07.03 74.01,,08,0704,,,,HEX,,,,,,STR:5,,,,,,BCD,,,,,,BCD,,,,,,BCD,,,,,,BCD,,,
r,vrs620,ID,Vaillant UI   05.08 62.01 ,,15,0704,,,,HEX,,,,,,STR:5,,,,,,BCD,,,,,,BCD,,,,,,BCD,,,,,,BCD,,,
r,SOL,ID,Vaillant SOLSY 5.00 63.01,,EC,0704,,,,HEX,,,,,,STR:5,,,,,,BCD,,,,,,BCD,,,,,,BCD,,,,,,BCD,,,
################################# Register Messages VRS620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*r,vrs620,,,,15,B509,0D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*w,vrs620,,,,15,B509,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,RoomTemp,Raumtemperatur,,,,0000,,,tempsensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,OutsideTemp,Außentemperatur  ,,,,0100,,,tempsensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,VF1,Vorlauffühler intern,,,,0200,,,tempsensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYield,Solarer Ertrag,,,,0600,,,energy4,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,isInHoliday,Ferienmodus,,,,0E00,,,yesno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg10,Reg10,,,,1000,,,status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg17,Reg17,,,,1700,,,status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg19,Reg19,,,,1900,,,status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg1D,Reg1D,,,,1D00,,,status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg1E,Reg1E,,,,1E00,,,status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,RoomTempOffset,Raumtemperatur Offset,,,,1F00,,,temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,OutsideTempOffset,Außentemperatur Offset,,,,2100,,,temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,RoomTempHoliday,Ferien Solltemperatur,,,,2200,,,temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg23,Reg23,,,,2300,,,temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg24,Reg24,,,,2400,,,temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,MinTempBoiler,Minimaltemperatur Wärmeerzeuger,,,,2500,,,temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,ServiceDate,Servicedatum,,,,2B00,,,HDA:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,HWC,OperatingMode,Betriebsart,,25,,2B00,,,hwmode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,HC,OperatingMode,Betriebsart,,26,,2B00,,,hwmode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,MIX,OperatingMode,Betriebsart,,50,,2B00,,,hwmode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,SOL,OperatingMode,Betriebsart,,EC,,2B00,,,hwmode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Password,Passwort,,,,2C00,,,code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,HWC,MinStorageTemp,Speichertemperatur minimal,,25,,3000,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,HC,MinFlowTemp,Vorlauftemperatur minimal,,26,,3000,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MIX,MinFlowTemp,Vorlauftemperatur minimal,,50,,3000,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,HWC,MaxStorageTemp,Speichertemperatur maximal,,25,,3100,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,HC,MaxFlowTemp,Vorlauftemperatur maximal,,26,,3100,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MIX,MaxFlowTemp,Vorlauftemperatur maximal,,50,,3100,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,HWC,DayTemp,Speichertemperatur Tag,,25,,3200,,,temp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,HC,DayTemp,Raumtemperatur Tag,,26,,3200,,,temp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,or,DayTemp,Raumtemperatur Tag,,50,,3200,,,temp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,SOL,FlowTemp,??,,EC,,3200,,,temp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,HC,NightTemp,Absenktemperatur,,26,,3300,,,temp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MIX,NightTemp,Absenktemperatur,,50,,3300,,,temp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,SOL,FlowTemp2,??,,EC,,3300,,,temp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,HC,HeatingCurve,Heizkurve,,26,,3500,,,uin100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MIX,HeatingCurve,Heizkurve,,50,,3500,,,uin100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,LcdContrast,Kontrast Display,,,,3600,,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,HC,OutsideTempLimit,Abschalttemperatur,,26,,3600,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MIX,OutsideTempLimit,Abschalttemperatur,,50,,3600,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,PreHeatingTimeMax,Voraufheizung MAX,,,,3800,,,hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
